#{"t_start": 1745506838.90192, "env_id": "None"}
r,l,t
13.338026,16,7.049011
14.239953,17,7.417615
15.730831,21,8.875506
3.8923736,5,9.244491
1.8849952,3,10.711589
7.905853,9,12.57562
9.215723,11,14.952184
4.1510763,6,14.952238
15.237778,21,15.851358
32.016247,40,17.85943
5.6869464,7,20.723542
11.233346,13,22.22931
10.150867,14,22.229361
10.66516,15,22.866642
8.331968,10,26.55104
10.303118,12,27.307508
7.160103,11,27.307539
2.5303655,4,28.485711
1.6194962,3,29.279163
4.659936,6,31.813859
5.878692,7,34.753126
18.03299,20,36.847127
32.097786,40,38.713753
18.278965,23,38.713798
6.629366,8,42.439411
7.126118,10,43.499831
14.676564,18,44.608325
2.5303285,4,44.982592
21.33953,26,46.148885
3.6596875,5,47.044161
9.031907,12,47.622032
11.956226,15,51.478576
8.636995,10,52.40231
1.070266,2,52.402341
3.4417088,5,55.025875
8.949713,11,57.424775
