#{"t_start": 1745506600.6179461, "env_id": "highway-v0"}
r,l,t
15.730833,21,9.076924
7.905853,9,12.529805
4.151076,6,15.051846
10.66516,15,21.099698
7.160103,11,26.022712
1.619496,3,27.245193
4.659936,6,30.970425
5.878693,7,33.818466
21.339531,26,45.465
30.003001,33,59.959884
30.231556,39,81.671181
15.129549,22,91.345001
22.553133,29,105.575942
7.017224,10,111.73644
2.484423,4,113.924539
3.202753,4,115.463841
7.016113,9,119.462038
2.93451,4,121.254936
3.755037,5,123.099702
2.971418,4,124.81168
6.328205,8,128.415374
9.724278,11,133.59627
4.852519,6,135.96242
2.727944,4,137.804736
8.390849,10,142.185787
