#{"t_start": 1745506600.596467, "env_id": "highway-v0"}
r,l,t
32.016244,40,16.581502
5.686947,7,19.612799
32.097785,40,38.125853
6.629366,8,41.150967
9.031908,12,46.626146
8.636995,10,51.29459
3.441709,5,53.214399
9.509193,14,59.541068
2.016534,3,61.634541
20.503708,23,73.070698
5.260979,7,77.249641
11.980398,16,85.311172
14.729854,20,94.794318
1.821659,3,95.996248
1.693345,3,97.12626
2.618927,4,98.619134
2.642023,4,100.819403
20.643481,29,116.627043
5.535919,8,120.529797
2.225175,4,122.021777
6.242109,8,125.395679
2.620735,4,127.340903
2.859491,4,128.830108
8.880642,12,134.39904
9.482423,13,140.296949
