#{"t_start": 1745506600.611897, "env_id": "highway-v0"}
r,l,t
14.239954,17,7.144821
3.892373,5,9.470313
1.884995,3,10.579309
9.215723,11,15.060408
10.150868,14,20.715737
8.331968,10,25.278351
2.530365,4,26.794631
18.278964,23,38.126644
7.126118,10,42.18338
2.530328,4,44.308351
3.659688,5,46.226625
28.230758,36,63.69316
6.532756,9,67.906749
1.884432,3,69.697242
2.685593,4,71.264941
19.344372,25,84.551226
7.262851,9,89.056041
11.261393,14,95.226717
2.928211,4,96.717749
2.53277,4,98.222744
9.217759,13,105.590703
8.281582,10,111.716871
5.885917,7,115.105151
25.729773,35,130.034534
3.671902,6,133.229347
6.705134,8,136.387926
2.859475,4,138.404041
17.189952,19,146.787075
