#{"t_start": 1745504998.6752563, "env_id": "highway-v0"}
r,l,t
11.281725,15,7.452276
25.832312,34,19.976728
10.546347,14,25.618151
3.838529,5,28.226017
2.926974,4,30.010805
11.39269,14,36.366029
29.486072,40,58.336448
1.710548,3,60.022925
5.663284,8,64.764693
28.611216,38,88.714454
1.820164,3,90.405566
1.194312,2,91.504391
31.810573,40,111.123886
6.836603,9,114.431353
1.043882,2,115.464074
2.468711,4,117.603549
7.593246,9,122.940701
2.902175,4,125.131827
27.693992,36,146.568907
5.48251,7,150.433544
3.229415,5,152.286281
15.599002,20,160.744005
2.75226,4,162.981813
5.570062,7,166.916378
3.592814,5,169.67685
4.92944,7,173.599173
15.701624,22,186.071155
16.081684,20,197.349836
12.912989,19,205.680444
4.859256,6,207.896486
1.66723,3,209.012541
2.619254,4,211.135363
4.37629,6,214.448827
8.613539,11,220.592184
3.929223,6,223.920418
10.282286,13,231.277781
8.706658,11,237.394891
3.864559,6,240.79927
4.420729,7,244.699298
9.632897,11,251.409526
0.93277,2,253.243748
3.93483,5,256.710447
12.888224,15,262.825582
5.38301,8,265.799218
14.105643,16,274.570978
5.225999,7,278.701263
26.875111,36,309.380167
7.373961,10,317.082693
3.702698,5,319.922892
4.353382,6,322.654219
15.8633,18,331.103039
20.141904,27,346.40488
9.844381,14,357.446783
2.938569,5,361.695591
3.771302,5,366.184232
6.324887,9,373.50123
21.205558,26,395.833483
6.252111,8,400.434922
0.93277,2,401.700942
30.832625,40,423.511803
30.301104,40,448.688693
28.97108,38,474.994207
32.567337,39,505.229865
21.310932,31,527.893976
2.860979,4,530.14417
6.888206,10,535.847768
1.818329,3,537.558577
6.707241,9,542.92138
30.57505,40,569.003535
13.397599,18,584.171692
4.665847,7,588.506262
17.101491,22,603.165202
2.598513,4,605.454301
30.201224,40,628.112759
26.654185,35,649.67096
21.233838,26,664.461375
9.82103,12,672.231592
3.903225,5,676.520165
16.59733,23,694.658064
5.799198,7,699.729963
3.219763,5,702.825337
4.553281,6,706.309581
9.17508,13,716.774712
15.321885,18,732.165444
3.928661,5,736.742728
6.471256,9,742.721441
6.438983,9,747.776552
7.024059,9,752.797262
29.705102,40,778.806551
28.962775,37,803.024184
7.775719,11,812.620208
11.584961,14,824.705751
24.307135,34,849.066285
29.875639,36,869.198438
9.708302,13,876.456737
17.439109,24,890.26893
15.100829,20,901.380891
17.368256,25,915.548459
19.282873,25,929.675016
21.126055,27,944.942398
2.4,4,947.211684
6.016964,7,951.054007
