#{"t_start": 1745504998.6802955, "env_id": "highway-v0"}
r,l,t
6.804612,10,5.636883
8.263537,11,9.630595
30.7604,40,24.870996
10.30802,15,32.423517
1.994312,3,33.768948
6.149199,8,36.736909
1.862773,3,38.337528
3.860193,5,41.152211
12.657378,15,49.353161
3.906655,5,52.151196
19.921582,26,67.243257
1.151662,2,68.477028
2.792809,4,70.982424
6.571024,8,77.32557
23.519541,28,93.139236
9.796735,14,100.78719
29.649002,40,118.758543
18.160633,24,132.93232
17.39364,21,145.450774
5.328098,7,149.39152
26.461112,35,165.236478
15.83102,19,175.831133
6.594074,9,180.979809
3.33195,5,183.815843
4.845601,7,187.799917
3.771308,5,190.575181
11.111118,13,197.90734
12.350213,16,204.749027
1.023137,2,205.694629
15.324794,19,214.451416
9.698312,12,221.137794
5.084551,7,225.029052
9.108946,12,231.825315
13.536106,18,241.931618
3.613286,5,244.711342
2.793644,4,246.959188
3.352588,5,250.034407
27.268467,36,267.902506
26.259279,32,289.845821
9.324559,11,299.313441
31.764117,40,326.618138
3.79353,5,328.634367
8.771042,12,334.418954
6.39849,8,338.993495
11.058672,13,346.420273
3.089452,5,350.075666
24.623971,33,377.668275
14.348124,19,393.889264
9.194038,12,401.871979
11.593523,14,409.050384
7.416111,9,414.054384
12.262613,17,423.47962
30.66648,40,448.670586
13.365049,17,458.415158
1.306655,2,459.598405
7.502326,10,467.135596
18.330928,24,487.375905
2.507864,4,489.644827
5.839565,8,495.186282
11.417769,14,506.930082
9.852559,12,517.361499
6.714282,9,523.319493
14.644367,18,533.592427
4.437258,6,536.995744
8.969132,11,544.262616
7.28858,10,551.473633
1.042957,2,552.707033
12.335016,17,562.920939
5.70393,7,566.968898
32.183506,40,596.666842
4.958513,7,601.370398
24.474401,33,620.197041
2.017766,3,621.885336
2.709883,4,624.15632
3.756677,6,627.532421
2.59553,4,629.837387
0.998897,2,631.018889
2.554057,4,633.29928
16.517288,22,647.377948
6.928881,10,653.052106
31.24511,38,677.470659
9.364824,12,685.936306
3.218961,5,690.407789
29.617403,40,720.205523
9.220845,11,729.551756
13.681675,17,742.727878
21.087063,28,759.618902
12.572434,15,768.834957
3.171302,4,771.564314
2.308934,4,774.74392
8.460151,11,781.161548
19.924448,22,795.217965
22.503959,29,818.741006
27.40614,37,846.200745
7.858185,10,852.45812
8.886843,11,858.649175
4.529785,6,862.000369
2.552308,4,864.211658
17.744334,21,875.907792
14.505132,17,885.731525
33.719474,40,908.103306
18.689075,22,920.627755
4.263419,6,923.950357
2.510548,4,926.291869
17.709737,25,940.455967
