#{"t_start": 1745504998.6938257, "env_id": "None"}
r,l,t
5.2483187,7,4.523398
6.8046126,10,5.637677
7.557581,11,6.020324
11.281725,15,7.449136
7.7033634,9,7.818803
8.263537,11,9.632049
9.11229,13,12.611289
3.8379712,5,14.472459
3.821545,5,16.320465
25.832315,34,19.979581
31.425316,40,20.783636
12.220584,17,23.019104
30.760395,40,24.872132
10.546347,14,25.628311
11.637688,14,26.731097
3.8385289,5,28.389584
2.9269738,4,30.119701
10.308019,15,32.434612
15.83859,22,33.3995
1.9943119,3,33.771584
15.019253,19,35.621802
11.39269,14,36.369231
6.149199,8,36.739114
3.5763211,5,37.806563
1.862773,3,38.365413
3.0881832,5,40.615297
3.8601935,5,41.162709
12.657377,15,49.363906
3.9066544,5,52.162472
29.460535,40,53.890891
29.486073,40,58.359663
1.7105483,3,60.046943
28.372679,35,60.046993
5.6632843,8,64.771627
6.688882,10,66.037547
19.921581,26,67.262651
17.063421,23,67.262702
1.1516619,2,68.487738
4.481034,6,69.71961
2.7928088,4,71.268389
8.974238,12,76.099947
6.571024,8,77.432959
2.8816996,4,78.598487
6.682392,8,83.243516
18.41397,22,84.352399
28.61122,38,88.719621
1.8201642,3,90.41089
1.194312,2,91.509814
23.519545,28,93.160702
13.942351,18,93.160753
14.488992,22,96.401497
7.797269,10,98.581637
9.796735,14,100.797211
16.956015,24,108.162023
31.810568,40,111.131793
20.905272,27,111.131825
7.3119135,10,112.23057
6.836603,9,114.427297
8.544037,10,114.923069
1.0438815,2,115.46963
2.4687107,4,117.615299
29.649002,40,118.782344
7.593247,9,122.946867
2.902175,4,125.138374
18.160631,24,132.943511
29.04119,40,134.291236
30.840214,40,138.483339
1.042957,2,139.719575
17.39364,21,145.461789
27.693989,36,146.588513
17.954424,25,148.848514
5.3280973,7,149.416603
5.48251,7,150.429702
1.8844323,3,150.429738
2.751099,4,151.913018
3.2294147,5,152.286521
19.05234,25,152.659877
15.599001,20,160.749336
2.75226,4,163.001321
26.46111,35,165.252169
5.5700626,7,166.92384
23.730644,32,166.923899
3.5928135,5,169.684112
32.769623,40,172.486366
4.92944,7,173.605283
12.577258,15,175.266368
15.83102,19,175.842112
4.148576,6,178.62693
6.5940742,9,181.019135
2.903691,4,181.019188
3.3319504,5,183.84719
15.701625,22,186.077827
8.392437,10,186.672204
