#{"t_start": 1745504998.6922452, "env_id": "highway-v0"}
r,l,t
5.248319,7,4.510156
7.703363,9,7.806454
9.112291,13,12.598467
3.837971,5,14.45999
3.821545,5,16.307155
12.220584,17,23.005645
15.838589,22,33.386807
29.460529,40,53.858656
17.06342,23,67.239484
8.974238,12,75.990279
2.8817,4,78.576136
6.682392,8,83.221352
13.942353,18,93.137673
7.797269,10,98.559408
20.905269,27,111.11919
8.544037,10,114.900684
30.840217,40,138.458709
1.042957,2,139.695078
19.052341,25,152.646241
32.769622,40,172.463619
19.017409,25,186.641387
13.124672,18,196.757095
6.132534,8,200.83317
19.708717,25,211.112229
25.221615,33,229.553361
14.463096,18,239.658999
9.889757,13,246.919737
5.368569,7,251.484625
10.972643,15,259.772278
3.015863,4,261.403054
10.905852,12,266.205092
2.665168,4,268.436744
5.728075,7,272.309774
7.636451,9,277.321111
9.592802,13,288.364386
12.504724,16,301.919565
10.947019,14,313.991584
3.110291,5,317.076853
3.842234,6,320.482249
16.534245,24,331.638725
13.215364,16,340.659435
6.146607,8,345.264307
5.284074,7,349.767696
2.292783,4,353.473381
25.930595,35,382.791687
1.995543,3,385.579822
18.383826,22,401.681247
12.97016,15,409.594157
14.497391,17,419.029329
18.773704,25,434.435302
7.618484,11,440.483223
1.866104,3,442.135621
14.442172,20,455.06299
21.19631,30,477.501333
1.77572,3,479.759693
23.040172,32,504.633837
7.838625,11,513.696509
8.395707,12,522.718074
11.795207,16,531.845246
2.792825,4,534.141932
10.633332,14,542.254089
20.343892,25,559.088023
7.135554,9,564.639624
30.56501,40,593.404897
4.180366,7,598.960783
1.909053,3,600.808189
3.460711,5,603.787001
1.710548,3,605.437385
11.345653,15,614.012885
32.269943,40,636.639067
5.271343,8,641.850845
15.46099,22,655.279581
5.883787,8,659.899593
1.952102,3,661.589906
20.186477,23,677.346695
2.600618,4,680.208662
29.221711,40,709.409121
21.609324,25,730.734582
8.082952,10,739.030097
27.342297,36,761.172881
3.469486,5,764.176305
6.681697,9,769.416802
11.550476,14,778.882465
20.907036,27,795.777283
22.520441,28,818.782169
2.903691,4,822.126045
3.284121,5,826.391685
11.12246,15,836.247288
19.364106,25,853.567633
10.944351,13,860.878797
15.144636,21,872.520598
1.688889,3,874.218696
12.541851,17,883.999338
1.238756,2,885.151153
5.736811,7,889.141856
13.285514,17,898.592007
24.146042,31,916.084647
5.085109,7,920.053921
6.605131,8,924.533438
6.042008,8,929.084441
16.055271,19,939.856932
8.529249,12,946.631742
