#{"t_start": 1745504998.686098, "env_id": "highway-v0"}
r,l,t
7.557581,11,6.013591
31.425314,40,20.766986
11.637686,14,26.712286
15.019253,19,35.615269
3.576321,5,37.79024
3.088183,5,40.579836
28.372683,35,60.030698
6.688882,10,65.939268
4.481034,6,69.702945
18.413975,22,84.335728
14.48899,22,96.385501
16.956015,24,108.155673
7.311913,10,112.221888
29.041192,40,134.158988
17.954425,25,148.831843
1.884432,3,150.410968
2.751099,4,151.90653
23.730644,32,166.907828
12.577259,15,175.2493
4.148576,6,178.610417
2.903691,4,180.996999
8.392437,10,186.63133
21.10372,26,200.842451
12.320991,16,207.155967
20.505388,24,219.484522
16.547997,19,230.129262
3.267856,5,232.967386
29.788265,37,255.553731
9.78331,14,261.418495
3.50785,5,263.556305
5.813437,7,266.205116
10.110031,12,272.871106
24.599498,34,299.307945
4.639189,6,304.502884
8.323466,10,312.768936
11.233442,13,321.04399
20.244366,27,333.859016
10.60031,13,341.231828
28.727554,38,370.0901
6.639988,9,377.966811
1.754057,3,380.522463
2.073294,3,382.764202
9.149752,12,393.311656
11.815723,13,401.873299
16.352795,23,414.05607
1.754068,3,415.720116
2.260307,3,417.385955
14.124564,19,427.962377
22.863488,29,446.74697
20.789384,24,460.959625
27.361364,33,488.065898
10.489885,12,495.885217
1.909053,3,498.692775
4.868167,6,503.767001
10.283945,12,513.949165
4.464977,6,518.786354
17.990891,23,532.455365
3.417183,5,535.26457
18.688824,24,551.428754
5.510872,7,555.623023
10.149267,12,562.89564
11.990925,17,574.773893
2.705159,4,578.114842
2.88594,4,581.622267
4.064744,6,586.264995
9.226075,12,593.407395
4.021946,6,598.11789
4.271359,7,602.569163
13.83315,17,612.327833
6.286849,8,616.781645
29.52398,36,637.209534
7.330107,11,645.067668
7.890734,11,651.352624
16.900156,21,663.29551
12.814488,15,673.146791
7.873503,9,680.311085
8.352839,11,688.430523
5.278744,7,694.651367
2.662494,4,697.819643
6.349443,9,703.679543
5.001047,7,707.428881
2.531846,4,711.169534
19.715015,26,733.045748
1.86221,3,735.87178
9.814001,13,744.423331
8.371541,12,751.077803
7.172519,9,756.595697
3.909753,5,760.587493
8.016883,10,766.472394
6.041027,8,771.412122
14.688885,18,782.816783
7.63669,10,788.86423
9.858151,12,796.978518
13.592807,15,808.858094
5.446959,8,816.5131
29.488912,40,846.518364
7.602692,11,853.007675
9.086356,12,859.765679
12.420438,16,868.636195
15.665533,22,881.189586
16.639639,23,894.162657
17.994732,26,908.670684
12.831342,17,918.36451
12.658824,16,927.401158
2.999494,4,929.653373
6.305432,9,934.829808
5.750776,8,939.273754
8.824162,12,946.07058
