#{"t_start": 1745507245.0651052, "env_id": "highway-v0"}
r,l,t
15.730833,21,8.688888
7.905853,9,12.066582
4.151076,6,14.313435
10.66516,15,20.308661
7.160103,11,24.811517
1.619496,3,25.943956
4.659936,6,28.138911
5.878693,7,31.574454
21.339531,26,44.749157
30.003001,33,62.584887
30.231556,39,81.415769
15.129549,22,91.768489
22.553133,29,105.786794
7.017224,10,110.599041
2.484423,4,112.138967
3.202753,4,114.417964
7.016113,9,117.960833
2.93451,4,120.04209
3.755037,5,122.324656
2.971418,4,123.825143
6.328205,8,127.732572
9.724278,11,132.519652
4.852519,6,135.187866
2.727944,4,136.671747
8.390849,10,141.39335
15.998585,21,152.307182
4.681162,6,155.866534
6.882818,10,160.60548
6.136957,9,164.79371
1.862773,3,165.95489
1.731846,3,167.130011
7.947044,10,172.266878
2.398501,4,173.99904
7.550785,9,178.506351
12.623927,16,185.427528
7.988897,10,190.097116
6.286826,8,193.16938
14.99909,20,202.64019
2.98177,5,205.555716
4.003623,6,208.972787
10.082138,13,216.138119
9.176416,11,221.377738
13.209336,17,229.755355
4.1829,7,233.33325
28.633039,35,249.450776
8.41696,12,255.036934
15.368736,21,267.102254
7.110807,10,272.406044
5.528774,7,275.224384
2.507864,4,277.463141
5.282933,7,280.265045
18.502001,24,291.972636
20.756858,29,304.973954
19.305124,27,320.434864
22.777891,30,334.345894
10.334405,15,340.946553
2.891841,5,342.993053
8.864925,11,347.81931
26.082199,38,369.12481
6.65893,8,373.695575
31.281725,40,396.544867
4.445627,7,400.499104
5.269623,8,404.975099
11.149224,13,410.391923
0.954993,2,411.526524
3.639988,5,413.642508
11.724076,16,420.541336
14.194882,20,428.931136
29.848898,39,447.994572
11.064858,13,456.978485
11.240239,14,463.282653
15.90393,18,471.24156
6.592807,8,474.261279
10.883087,16,481.304828
5.825843,8,485.223299
3.882413,5,487.129501
1.824059,3,488.634449
5.573988,8,493.144325
15.196056,20,503.984425
5.75349,7,506.716267
7.734132,11,511.733806
19.082675,24,522.574811
7.157951,10,526.649563
10.611632,14,533.988919
16.679315,21,548.530848
2.993641,4,550.341406
3.283848,5,553.240472
23.389485,31,567.5467
17.410937,23,577.163086
14.093981,18,587.457686
5.016807,7,591.508005
10.487675,15,598.067742
6.063961,9,601.62816
5.960583,7,605.157988
16.581539,22,614.358673
3.617879,5,616.959516
5.648306,8,620.155345
9.528701,13,626.965924
5.73572,7,630.945841
7.937196,11,637.11556
30.208508,39,653.212377
12.19433,16,660.389229
22.280541,28,675.937207
1.15647,2,676.707245
6.997687,10,681.397564
2.118298,3,682.526499
2.597942,4,684.018299
1.622222,3,685.239902
6.618572,8,689.044978
6.104883,8,692.377338
7.154008,9,696.243351
5.442508,7,699.424544
29.367975,36,717.783983
4.59097,6,721.366333
18.121282,22,732.46132
2.730038,4,734.795328
3.937144,5,736.6994
1.53438,3,737.845799
6.173446,8,741.759966
31.923708,40,761.319565
23.329071,33,776.788474
2.712913,4,778.240598
23.210239,29,792.092376
2.774676,4,794.23892
4.774662,6,796.483613
2.972656,4,798.124877
5.976654,9,803.26712
2.641184,4,805.640378
5.026793,8,810.095218
16.862312,22,820.400574
19.995292,27,835.148085
9.990264,12,842.440945
6.346327,8,847.373775
6.759415,9,852.661763
1.686163,3,854.949847
15.769478,19,866.071316
28.633449,36,886.60502
3.396181,5,889.430131
4.505046,6,892.853434
8.500642,10,898.428614
4.858706,6,901.246704
17.076739,21,911.292519
6.435386,8,915.928471
1.980406,3,918.418471
14.373987,16,927.956787
1.757643,3,929.606895
7.1922,9,935.130482
9.150255,12,942.875565
29.042281,40,965.566264
4.399304,6,968.920784
1.754068,3,970.617219
2.172656,3,972.299519
7.638642,10,977.985135
3.139874,4,980.263897
6.843072,10,985.341965
2.418241,4,987.670551
29.172842,40,1004.60815
21.772857,30,1027.092356
10.936945,13,1034.426982
3.705875,5,1037.251892
31.049261,40,1059.492033
16.19891,23,1070.546896
4.799207,7,1073.127356
10.533957,15,1079.487487
11.729199,16,1086.765705
14.858972,21,1096.978311
8.772998,11,1103.124085
8.79922,10,1108.853421
7.452623,9,1112.508774
3.693366,5,1114.905147
26.703565,35,1135.679878
3.071789,5,1138.583224
20.169537,27,1152.589585
22.346186,27,1164.706147
19.394579,27,1182.208992
9.842275,13,1192.948928
3.82088,5,1197.110543
14.467863,21,1214.81109
5.003737,8,1221.872574
14.661595,20,1232.098504
1.754068,3,1233.224697
12.398455,14,1239.336266
6.268018,9,1243.587314
11.771259,15,1250.06705
21.573574,27,1262.105692
5.687021,8,1265.600457
23.798786,32,1353.020774
30.15682,40,1368.912839
11.883451,15,1374.853711
7.213831,9,1378.422502
2.599335,4,1379.988125
6.709848,9,1383.524662
13.017065,16,1392.678961
1.890102,3,1395.01937
5.729045,8,1400.781549
3.751099,5,1403.600526
1.883201,3,1405.280418
31.420905,40,1428.323705
18.079678,23,1440.176249
2.642957,4,1442.169577
13.791043,17,1452.490686
15.569315,20,1464.15023
2.681714,4,1466.693099
30.604324,40,1486.406348
2.069255,4,1488.677976
11.271348,16,1497.758564
12.486571,18,1505.671883
30.203159,40,1523.534297
17.882038,23,1534.457482
14.683576,20,1545.310657
19.835937,27,1557.065331
3.993524,5,1559.074677
32.526822,40,1576.664025
1.068439,2,1577.82131
2.171979,3,1579.56248
8.237152,11,1585.796621
5.441315,7,1589.786525
9.437012,11,1594.239299
5.213745,7,1597.74544
5.503256,7,1600.385894
15.417547,21,1611.759292
11.823586,15,1620.553558
2.794878,4,1622.761789
17.324522,21,1634.348549
4.220182,6,1636.980869
2.917738,4,1638.493629
2.105989,3,1639.709052
3.888069,6,1642.80861
29.688283,40,1661.283785
31.061665,40,1682.035224
2.552588,4,1683.598055
14.938838,18,1691.242213
6.817684,9,1695.5272
5.530366,8,1698.665133
11.75281,17,1706.302027
5.268497,8,1709.500455
4.882396,6,1712.232281
6.201566,8,1717.458184
31.617125,40,1743.800056
4.467809,7,1747.850451
21.460405,29,1764.439709
8.980603,12,1774.667006
30.464672,40,1805.195406
1.927645,3,1806.85465
9.724361,12,1812.381442
15.195703,21,1821.769759
30.71499,40,1838.47754
29.054102,40,1859.068992
4.505053,6,1862.193245
3.747856,5,1864.074251
15.245708,21,1872.873444
29.395483,40,1891.569459
14.465867,19,1902.057698
9.828481,14,1908.214902
7.888192,12,1913.333508
7.931165,11,1918.98782
26.040302,37,1939.213227
11.729355,15,1946.043867
15.191613,21,1955.268028
1.844721,3,1956.412406
14.597901,20,1965.669763
2.062773,3,1966.872385
33.229148,40,1987.371483
17.08638,22,1996.527069
8.394028,11,2001.382884
31.168853,40,2019.204993
19.46371,26,2034.416825
18.889209,26,2045.872962
4.416554,6,2048.153333
4.377778,6,2050.653506
23.487273,34,2066.20447
31.410027,40,2086.18513
14.886292,20,2094.586096
1.599059,3,2095.717182
1.134547,2,2096.89177
31.147241,40,2117.584852
7.491147,10,2122.399021
4.173693,6,2125.087682
29.086004,40,2145.185357
4.52944,6,2147.820456
5.503142,7,2151.795774
3.115454,5,2155.318653
13.63929,19,2165.308716
3.747709,5,2167.891385
30.526996,40,2186.089467
29.880254,40,2206.606653
14.04134,19,2215.117519
6.58095,9,2218.561223
2.039988,3,2220.25042
18.815712,26,2231.071495
1.619496,3,2232.961141
11.570205,16,2243.146067
19.881216,28,2256.016964
28.947668,40,2273.596204
1.862773,3,2274.702868
28.734025,40,2295.393816
30.990921,40,2312.844862
16.583033,24,2322.775275
13.617461,18,2333.641382
28.31255,40,2352.782413
4.09543,5,2354.683012
3.400563,5,2356.791088
30.177755,40,2381.700464
4.839057,7,2385.793262
19.338592,26,2406.470421
15.046424,21,2416.140516
3.86941,5,2418.540983
9.670431,14,2424.732419
17.850399,25,2437.202669
9.271363,13,2448.199355
29.463425,40,2469.706893
29.979259,40,2495.580141
8.909482,13,2505.547062
28.538556,40,2525.111355
30.291716,40,2543.555865
17.972394,21,2554.33178
12.691983,18,2563.964395
10.948949,14,2570.10503
27.624048,40,2587.74422
24.676283,32,2691.4994
30.884956,40,2714.256513
29.39822,40,2732.304812
4.666534,6,2735.208479
25.019471,31,2749.802058
27.468642,40,2770.685609
27.821355,36,2792.981055
8.016164,11,2801.995571
18.373345,26,2823.783089
9.840755,14,2834.598011
3.756698,6,2838.671346
9.797116,13,2846.368788
9.398079,13,2853.873311
7.526839,10,2858.293808
0.954068,2,2859.049649
9.619977,13,2864.780909
11.267433,16,2871.730957
16.776976,22,2881.878114
30.209079,40,2903.161521
29.359285,40,2922.298082
8.603196,11,2928.038084
1.905423,3,2929.174956
15.239634,21,2941.247454
30.305586,40,2973.086884
14.537927,20,2989.726485
7.154055,9,2997.825274
0.977778,2,2999.631153
29.06698,40,3038.550839
17.757261,24,3060.931448
8.432989,10,3069.738553
5.490712,8,3076.891227
8.619902,12,3087.477934
4.220062,6,3092.567106
24.886831,31,3119.297526
29.056793,40,3156.73492
5.104759,7,3162.520092
29.86579,40,3197.132886
4.734135,7,3202.976763
31.084565,40,3237.318475
16.549764,22,3247.428061
29.439189,40,3265.019341
10.269151,15,3271.856089
28.644143,40,3294.42319
25.792953,34,3321.011092
30.601803,40,3354.628129
6.978002,10,3363.586165
21.556119,29,3388.230963
28.382233,40,3422.914216
3.904494,5,3426.94531
2.269897,4,3430.361381
27.906537,40,3464.78044
9.839844,14,3476.533459
28.909853,40,3512.432271
30.290076,40,3546.122395
28.933939,40,3580.063033
0.910548,2,3581.498615
29.843729,40,3615.841065
19.131841,26,3636.743087
27.956771,40,3654.733133
32.111134,40,3673.628333
30.349234,40,3692.649047
29.286676,40,3710.618454
30.134063,40,3731.405489
28.424623,40,3749.688593
28.027481,40,3770.531865
23.238394,32,3785.705483
29.467678,40,3807.17067
29.443413,40,3827.146758
29.810939,40,3844.553071
30.471925,40,3866.086811
7.239676,10,3870.047327
29.1367,40,3890.426909
30.187802,40,3912.166889
28.95749,40,3930.575824
13.335748,18,3939.51488
7.792558,11,3946.618325
1.906655,3,3948.417447
30.534353,40,3969.902845
14.319799,18,3980.389915
9.968924,13,3990.929517
30.401208,40,4024.880122
29.687568,40,4055.079068
27.294144,40,4077.757087
6.643858,8,4082.582679
17.400177,24,4097.932386
15.24914,22,4111.654715
6.816225,9,4116.882033
3.219763,5,4120.010077
13.64914,17,4130.589861
29.049008,40,4156.401464
5.058297,7,4160.549364
29.643082,40,4183.573691
6.396103,8,4188.4187
29.337864,40,4212.689789
28.221382,40,4231.575741
12.670034,18,4239.939662
30.069369,40,4264.798299
30.621029,40,4284.710496
4.581401,7,4368.663381
3.485628,5,4371.10903
2.926978,4,4372.809738
29.774924,40,4391.790677
11.178046,16,4401.394236
29.227344,40,4426.216771
1.754057,3,4427.655851
4.383707,6,4430.298685
25.746837,34,4447.433507
29.735813,40,4470.292604
28.804988,40,4499.16519
29.515776,40,4524.626842
27.823005,40,4542.21077
12.601728,18,4550.662587
31.702992,40,4574.835974
31.793497,40,4594.56559
6.264605,8,4598.4956
29.114335,40,4618.863682
6.090682,8,4623.545124
28.335847,40,4642.749526
11.154198,16,4649.901114
13.710483,19,4661.049939
27.981475,40,4684.077934
19.178811,26,4699.44422
6.154168,9,4704.55706
14.124757,19,4715.066451
14.504944,18,4722.953051
28.446305,40,4741.122811
28.868477,40,4768.456197
30.372168,40,4789.576719
9.266226,14,4798.120236
29.270268,40,4822.597843
15.464319,22,4833.776856
29.396667,40,4854.655642
2.641709,4,4857.112655
28.328454,40,4875.18462
22.173848,30,4888.392739
27.471906,40,4910.220011
27.982432,40,4928.649848
28.824815,40,4949.631604
6.590017,10,4956.360539
27.647401,40,4979.133639
27.180475,40,5002.136513
29.395246,40,5025.764294
27.173917,37,5041.778869
28.95832,40,5062.107413
29.383037,40,5081.98101
29.977213,40,5100.407185
30.866326,40,5124.32661
29.516347,40,5141.462218
16.080747,22,5151.710558
28.825281,40,5174.542089
30.576469,40,5202.968423
14.405258,20,5215.307882
1.69072,3,5217.005416
12.188799,16,5225.388126
28.645848,40,5244.967003
27.183037,40,5268.759915
21.826545,29,5281.845637
29.114824,40,5300.356886
4.50597,6,5303.988938
29.310411,40,5324.55817
3.748228,5,5326.86453
4.605255,7,5330.03288
30.824075,40,5352.331695
11.910411,16,5359.912147
27.383014,40,5378.396054
27.694125,40,5398.413558
16.465203,22,5409.706744
12.197972,17,5418.021653
27.397421,40,5436.350844
30.399509,40,5458.366148
27.560126,38,5475.553366
10.049703,15,5482.482532
27.53292,40,5504.01087
27.293554,40,5524.043895
30.246571,40,5547.767918
