#{"t_start": 1745507245.0525193, "env_id": "highway-v0"}
r,l,t
13.338026,16,6.81085
15.237777,21,14.698659
11.233346,13,19.945069
10.303117,12,24.83095
18.03299,20,33.117355
14.676562,18,42.132244
11.956225,15,50.791378
1.070266,2,51.593167
8.949712,11,57.276124
3.773321,5,60.260971
6.443587,9,65.482093
29.702087,40,84.214236
27.954615,40,103.794441
3.52951,5,105.749285
22.723723,29,118.868102
2.884432,4,121.161457
4.262906,6,123.459033
25.843083,30,136.68737
1.949868,3,137.95686
27.518683,38,158.16774
5.860177,7,160.993796
7.73389,11,165.948661
12.834083,14,172.831742
2.597032,4,174.459558
30.882938,40,192.423904
16.415217,24,203.786241
2.770587,4,206.134669
2.017766,3,207.843667
16.899797,22,219.867757
1.909053,3,220.995914
3.836905,5,223.470964
4.681003,6,227.009573
5.327383,7,229.778945
19.863158,27,242.189942
3.594878,5,245.020395
6.412754,8,248.517848
21.419126,27,262.363002
3.176842,5,265.333181
11.797605,16,273.549157
1.910815,3,274.709147
1.994312,3,276.407379
7.323717,9,280.324673
2.681714,4,282.49776
12.547992,15,289.683944
0.953709,2,290.594078
2.510548,4,292.391418
2.664609,4,293.923719
8.553861,13,299.825325
9.789009,12,305.351871
2.598501,4,306.871523
13.261995,17,317.525749
3.330086,5,320.361042
7.071926,10,325.081871
28.320086,36,341.375838
1.910548,3,342.511889
1.620723,3,344.125643
7.792267,9,347.817865
8.347035,10,353.074676
14.440866,20,364.695795
30.283439,39,386.911214
1.884432,3,388.620608
31.764251,40,409.364523
16.367655,22,419.422171
20.460162,25,430.045054
18.441527,26,441.100914
6.660361,9,446.15379
1.042957,2,447.795691
1.642957,3,450.359554
21.395483,27,464.811503
12.268229,17,472.029033
6.572458,9,475.796513
8.048061,11,480.442347
3.305875,4,482.485522
3.794084,5,484.8464
2.465179,4,486.378165
18.611109,25,499.987623
14.104616,17,507.849545
13.173731,18,516.021526
32.062581,40,534.686177
2.68433,4,537.22117
6.916364,9,543.792955
7.146666,9,549.382246
2.624879,4,551.201457
1.931834,3,553.265093
24.75278,31,567.592922
14.157355,18,575.152102
16.789606,22,586.859908
