#{"t_start": 1745507245.058582, "env_id": "highway-v0"}
r,l,t
14.239954,17,7.209287
3.892373,5,9.063478
1.884995,3,10.162874
9.215723,11,14.312771
10.150868,14,19.938047
8.331968,10,23.726014
2.530365,4,25.577572
18.278964,23,35.453136
7.126118,10,39.996452
2.530328,4,43.008061
3.659688,5,45.781412
28.230758,36,65.454865
6.532756,9,70.704531
1.884432,3,71.821677
2.685593,4,73.284327
19.344372,25,84.685326
7.262851,9,89.184579
11.261393,14,95.964694
2.928211,4,97.592563
2.53277,4,99.398661
9.217759,13,105.781952
8.281582,10,110.635581
5.885917,7,113.864586
25.729773,35,129.331398
3.671902,6,131.95503
6.705134,8,135.564479
2.859475,4,137.064253
17.189952,19,145.650058
14.017717,18,156.460722
20.630154,27,168.624761
15.728863,22,179.28864
3.271123,5,181.239603
7.359586,11,186.212344
18.321593,24,197.11222
8.981633,11,202.049196
22.719671,31,219.392831
8.259565,10,224.010543
11.178788,15,231.430961
3.784375,5,233.756178
9.016329,13,239.786052
9.058867,11,245.01792
23.280198,32,260.659056
8.526696,12,267.794573
10.92669,13,273.966079
3.973331,6,276.954234
12.975989,19,285.746483
23.053545,30,299.453058
8.702786,12,304.949292
18.632654,24,318.750903
16.572791,24,329.693683
3.44144,5,332.603152
12.704353,17,340.207172
4.136393,6,342.506978
7.842717,11,347.40544
0.999437,2,348.203946
20.351976,25,362.438283
8.697644,11,368.569135
20.272717,25,382.805715
15.364562,19,393.679379
3.905875,5,396.531455
10.29143,15,405.025582
8.777575,12,409.84571
3.2,5,412.49838
28.393642,40,429.49645
8.681436,10,433.80392
14.490032,20,442.5892
7.747639,9,448.961963
1.620735,3,451.124607
2.705423,4,453.948456
13.567757,16,461.655383
4.436598,6,464.789817
2.506645,4,466.312813
9.303917,12,471.638342
1.886317,3,472.759372
11.883371,16,479.680647
2.596752,4,481.257137
12.638094,17,489.221505
8.164835,11,495.398943
13.112678,19,505.136846
10.060629,14,511.335083
2.804389,4,512.875041
17.469923,23,523.337898
3.594878,5,525.204429
10.304618,12,530.921228
10.528508,14,540.544869
5.040551,7,545.38154
2.775343,4,548.098453
8.537564,12,554.30579
5.85762,7,557.261937
6.173763,8,561.404826
6.571278,8,564.635588
13.239643,16,571.856516
8.057249,10,575.889375
16.547992,19,586.271653
1.864609,3,588.060009
21.453646,30,601.630564
5.441315,7,605.196811
13.943775,16,612.08034
13.181512,16,619.056032
21.910309,29,634.513102
3.487487,5,637.112962
1.754068,3,638.255736
15.041918,21,646.864204
12.946198,17,654.350855
11.4804,14,660.39
3.749086,5,663.251446
1.75283,3,664.962333
33.476171,40,684.42018
17.369753,22,694.412514
11.771723,15,700.887015
5.262398,7,703.483472
8.128208,11,709.3577
21.70045,30,726.000009
6.935855,10,731.061231
3.331173,5,733.663369
6.066784,9,737.476932
11.949856,15,744.04622
8.63771,10,748.839829
3.975853,5,750.75938
23.201025,30,767.558772
11.545156,15,774.051886
12.203628,18,781.769686
30.375886,39,799.872241
22.079051,30,815.664426
6.640668,8,819.627689
1.140465,2,820.417439
2.039988,3,821.601712
3.157945,5,823.542861
3.728098,5,827.348808
9.658811,13,834.421567
9.780588,13,842.352956
18.230231,22,856.561148
5.712026,9,861.733337
1.998393,3,863.430862
14.874197,19,873.22933
2.039988,3,874.55857
29.6566,40,898.44105
4.90975,6,901.229316
18.537774,28,915.2729
6.736705,10,922.058226
1.021659,2,923.216283
0.977215,2,924.349966
2.489221,4,926.806621
4.260944,6,930.174828
14.01027,16,940.625228
24.837135,31,958.197319
3.32944,5,961.012967
1.6,3,962.699324
30.015644,40,984.828239
30.634361,40,1002.680221
1.91345,3,1003.835825
5.131877,8,1008.280427
5.710018,7,1011.798377
3.734112,6,1015.442484
15.682096,20,1032.106851
1.184909,2,1033.279692
5.213852,7,1037.430419
6.745267,8,1041.275533
22.801786,30,1058.27656
2.799335,4,1060.632837
4.973526,7,1064.483997
17.580254,26,1075.223814
21.130202,27,1087.281786
3.219496,5,1090.346385
1.884432,3,1091.446354
29.686499,40,1111.761373
30.66434,40,1134.545963
10.733653,15,1143.245206
30.877932,40,1162.049209
6.04261,9,1166.209477
3.92686,5,1168.281908
16.108134,23,1185.357246
6.370863,9,1193.230413
7.351458,11,1202.406653
5.421289,8,1208.898973
1.973321,3,1211.474046
28.953853,40,1235.925549
29.743934,40,1252.851937
18.020994,25,1264.151532
14.574422,18,1346.397183
8.24227,10,1350.274208
25.578797,33,1363.431238
10.437332,15,1369.318447
18.854002,22,1378.038216
12.879656,17,1384.917345
10.422351,15,1394.458548
29.262586,40,1419.388114
1.910548,3,1420.553309
1.77629,3,1421.718436
32.21521,40,1443.54805
8.997156,11,1450.250718
30.893554,40,1471.570707
7.706901,10,1476.089089
1.995543,3,1477.212322
29.923,40,1500.024084
1.994312,3,1501.156466
15.905747,18,1508.577073
23.439596,34,1524.562959
16.043386,23,1535.569398
4.799221,6,1538.880366
7.094014,11,1544.895809
29.282602,40,1561.935853
2.904755,4,1564.117852
4.526602,6,1566.353924
18.646519,26,1578.438147
29.780739,40,1598.503022
10.347069,14,1604.960959
29.152577,40,1627.773143
2.883201,4,1629.970028
17.309604,23,1640.823398
2.794611,4,1642.793519
31.711445,40,1661.29555
29.352566,40,1682.06216
29.727355,40,1699.250958
28.921028,36,1715.895566
15.929092,20,1729.502024
25.671322,37,1752.221012
3.372739,5,1754.576472
18.532452,25,1772.110697
3.220723,5,1776.328766
28.880241,40,1806.296901
2.705159,4,1808.524866
24.171071,28,1820.665245
8.448048,11,1825.365499
1.754736,3,1826.462054
22.330553,28,1838.477216
31.703144,40,1859.087677
14.857616,20,1868.118546
5.660171,7,1870.856357
2.728854,4,1872.356705
28.509824,40,1891.013506
22.774351,32,1907.116096
13.084963,15,1914.182055
8.819496,11,1919.723146
23.435007,29,1935.229444
2.642957,4,1937.490437
4.436681,6,1940.622611
5.154032,7,1943.398021
1.860979,3,1944.873298
8.623642,13,1950.631289
20.335846,28,1962.912699
8.901712,11,1968.011943
12.778903,18,1977.612335
6.746738,9,1982.601443
11.391833,15,1989.204718
5.618445,8,1993.010042
8.511106,12,1998.256844
7.346748,10,2002.152973
21.858242,31,2015.300816
13.089334,17,2024.749379
9.17048,12,2032.406474
28.113572,40,2049.600321
27.803618,40,2068.42677
16.435593,21,2079.738418
5.87195,7,2082.286625
1.908138,3,2083.656425
16.017841,18,2092.000511
8.769798,11,2096.333302
5.022213,8,2099.948105
6.245613,9,2103.857496
19.193437,23,2116.932143
4.592835,6,2119.855756
29.289528,40,2140.320257
6.265344,9,2144.469455
13.639423,17,2152.983439
8.110966,12,2161.114601
29.438796,40,2178.527717
13.525364,18,2187.86368
30.021225,40,2208.234221
2.750996,4,2209.743384
17.7718,22,2219.126925
14.447487,20,2228.015128
2.400563,4,2229.535416
2.849566,5,2231.482949
22.997056,32,2249.8114
2.727944,4,2251.550802
24.592219,33,2266.43723
5.309053,7,2269.032584
9.489022,14,2275.089334
7.196311,10,2279.939751
31.092791,40,2300.39742
3.352295,5,2302.21857
18.680857,24,2312.85751
27.765623,37,2329.904702
10.782454,16,2340.20003
19.025359,26,2351.101067
7.977628,11,2355.80081
28.775586,40,2380.402733
32.040199,40,2409.267899
12.577004,18,2417.317724
7.003623,10,2421.213801
24.504642,34,2438.927727
29.246657,40,2465.527803
28.025848,40,2486.316791
26.261519,34,2511.196202
25.291581,35,2528.25597
22.138843,31,2542.031209
3.062108,4,2543.53496
29.799222,40,2564.340793
28.290342,40,2582.149008
29.242446,40,2605.470963
22.948525,28,2703.76838
2.282529,3,2706.0701
17.165014,22,2718.515175
31.305955,40,2736.680202
4.862187,7,2739.775419
27.447146,40,2760.047554
12.486912,16,2767.678253
8.858767,12,2773.060404
3.870398,6,2776.811969
15.463752,20,2789.62774
29.972216,40,2823.185327
16.126067,19,2837.406542
10.267279,13,2845.056697
7.82584,11,2851.611082
22.331376,32,2865.895753
5.129776,7,2869.419447
4.446978,6,2871.740991
3.218442,5,2874.243881
20.399217,27,2885.832443
30.598135,40,2907.931941
7.11292,8,2911.263228
17.312647,24,2923.388847
14.660844,21,2933.96785
17.396634,22,2947.94325
29.389679,40,2981.300725
3.844397,6,2986.662156
2.618927,4,2989.999436
5.024725,8,2997.020587
5.826104,9,3004.713193
32.304369,40,3043.887633
25.550574,34,3074.87304
11.567043,14,3087.197608
13.771324,18,3102.853018
1.77629,3,3105.561801
14.32996,21,3123.878794
28.909032,40,3160.857061
1.884432,3,3163.626624
4.97507,7,3169.618738
14.234777,18,3185.569267
29.793218,40,3219.318866
17.449141,22,3237.946513
6.51643,10,3242.436283
32.922833,40,3260.129283
17.865256,25,3271.295228
13.446658,18,3281.540407
3.615866,5,3284.344748
29.443436,40,3310.992481
8.489002,12,3321.320424
23.996938,32,3348.23233
31.088733,40,3382.432146
7.974852,11,3392.004519
8.730337,11,3401.468826
7.280041,9,3409.086257
16.417292,19,3425.251207
29.018932,39,3459.056726
9.882643,14,3470.665915
1.046532,2,3472.591877
2.794048,4,3475.917763
5.648104,8,3482.422509
10.62279,12,3492.564568
29.750097,40,3528.374397
29.580918,40,3562.071738
28.134549,40,3596.202387
31.01335,40,3630.05302
8.390688,10,3637.130288
2.017766,3,3638.464747
1.927645,3,3639.810349
29.760814,40,3657.807797
28.346865,38,3676.440482
28.620096,40,3695.204226
18.493886,26,3706.835515
29.311749,40,3727.875314
8.865989,12,3732.756016
19.021754,28,3745.511704
28.733195,40,3765.242327
