#{"t_start": 1745507245.0471928, "env_id": "highway-v0"}
r,l,t
32.016244,40,15.829752
5.686947,7,18.412335
32.097785,40,35.461346
6.629366,8,39.088795
9.031908,12,46.213447
8.636995,10,51.611341
3.441709,5,53.767573
9.509193,14,62.008644
2.016534,3,63.75334
20.503708,23,75.281589
5.260979,7,78.385335
11.980398,16,85.530422
14.729854,20,95.551274
1.821659,3,96.810788
1.693345,3,98.053461
2.618927,4,100.015945
2.642023,4,102.38408
20.643481,29,115.711703
5.535919,8,118.907372
2.225175,4,121.163051
6.242109,8,124.208398
2.620735,4,126.146152
2.859491,4,128.156327
8.880642,12,133.667095
9.482423,13,139.155272
20.432926,28,153.502446
18.50192,26,165.957989
17.011494,22,176.864843
18.665072,26,187.860341
13.745007,18,196.257699
12.325279,16,203.815202
13.948843,17,214.086496
15.970576,21,224.062021
11.399035,14,230.869481
22.94965,29,244.364136
4.196306,6,247.246788
10.467469,15,254.275573
4.596592,7,257.772961
11.921907,16,267.196485
18.571366,22,277.878201
10.612342,14,284.550467
14.808048,20,293.550911
28.466293,40,312.89805
6.049566,9,318.884461
24.061487,31,333.383458
4.887781,7,336.330704
5.373686,8,340.192141
24.064718,33,355.875794
10.82069,15,364.682241
3.794764,5,367.475648
16.480466,23,380.504849
5.611604,7,384.556378
1.229354,2,385.724131
3.580449,6,389.206443
26.305831,36,408.235679
24.912223,28,420.58334
2.531272,4,422.074564
13.835827,19,430.61953
19.656402,24,440.732693
6.797665,9,445.47375
1.618975,3,447.991673
17.74887,23,461.287503
2.937844,4,463.279327
2.465179,4,465.205445
14.323723,18,472.803221
23.38973,28,485.223967
6.660928,9,489.21473
1.842386,3,490.888031
11.626918,17,500.581762
4.084565,6,503.609951
31.376351,40,521.263748
4.203231,7,524.099621
26.193131,37,546.362986
1.71704,3,548.159828
8.839345,11,553.834386
28.745417,37,570.203772
25.298436,31,585.709809
1.775052,3,587.435504
18.881453,25,599.341011
3.440453,5,601.264575
1.754068,3,602.494004
2.909883,4,604.801236
1.884432,3,605.971358
17.36512,22,615.23578
4.618716,6,618.311861
27.459238,34,636.248535
5.997722,8,639.3812
27.208047,36,654.928626
6.259216,8,658.243676
17.77471,24,671.275189
9.547775,13,677.533315
11.108119,13,683.282363
3.219486,5,685.233001
11.772632,13,690.937045
10.637808,14,697.004872
23.925544,31,712.227461
3.749604,5,715.021887
1.86221,3,716.685603
2.441718,4,718.924075
10.574968,12,725.535324
30.747417,40,744.031928
7.525455,9,748.468132
1.97209,3,749.625185
13.795763,20,760.184692
15.926574,20,770.414812
1.710548,3,771.524324
25.039258,34,786.874037
2.778991,4,788.859978
15.194988,22,798.724188
7.437626,10,804.515309
5.753516,7,808.426457
12.211159,15,815.702104
5.571948,7,819.03881
7.108177,9,822.733952
1.982253,3,824.353079
2.142208,4,827.612872
5.546584,7,830.686809
25.344504,31,849.656179
10.264609,14,858.888211
2.602776,4,861.188617
5.504622,7,865.066171
10.544452,14,872.440196
2.533896,4,874.200446
10.707713,14,883.098555
3.132508,5,886.063775
2.039988,3,887.745415
4.594607,6,891.204112
5.883546,8,895.690794
23.521353,31,910.740764
3.289105,5,913.52157
6.084898,8,919.028564
3.998501,6,922.648835
25.779999,34,943.460356
4.752505,7,947.443577
2.016534,3,949.150948
4.115119,6,952.528686
6.99419,10,958.199281
13.902729,18,968.3871
5.97492,7,972.305252
24.969941,33,989.895379
2.905159,4,991.41156
2.017766,3,992.50907
2.793644,4,994.692399
2.577675,4,996.314994
7.820812,11,1001.001569
7.21161,9,1004.641731
20.562866,27,1025.398805
6.291541,9,1030.454643
29.464604,40,1052.502082
7.569783,9,1057.702885
1.757011,3,1059.507818
18.747996,25,1071.314072
3.798637,6,1073.516955
3.220849,5,1075.792752
11.197935,15,1082.026476
29.759433,40,1101.990121
1.688889,3,1103.696722
3.39635,5,1106.601887
23.759229,31,1121.906653
12.333455,17,1132.828567
3.999064,6,1136.334855
16.883278,22,1148.327118
31.391584,40,1166.613645
14.400137,20,1179.63756
10.323822,14,1191.478965
31.434368,40,1224.227918
18.377612,25,1236.396505
16.710053,23,1245.843752
16.465633,22,1255.991086
28.44456,40,1347.563449
16.817586,22,1356.269475
30.401991,40,1372.058098
2.510548,4,1373.654033
10.087909,12,1378.449939
12.666804,18,1386.108165
1.761485,3,1387.758669
4.822199,7,1391.689541
4.726844,6,1397.222708
10.932381,15,1405.897881
9.027462,13,1413.922463
5.484652,8,1418.944851
4.449566,7,1421.753807
6.220058,9,1427.232202
3.376939,5,1429.621196
3.221402,5,1432.534492
26.6195,34,1451.389753
31.772181,40,1472.525023
31.990573,40,1494.388563
6.000489,9,1499.279162
3.138455,5,1501.163125
14.397092,20,1509.457413
18.056622,25,1521.05202
14.043067,18,1528.912163
9.22111,13,1536.160353
5.265715,7,1540.031435
2.686831,4,1542.22933
26.819016,34,1557.602947
10.908824,14,1563.682336
4.0,6,1565.967798
1.739613,3,1567.105608
10.546096,13,1572.783204
22.320237,30,1589.201886
10.469174,15,1595.843059
29.088638,40,1616.501381
31.221181,40,1637.74849
18.125003,24,1648.56705
15.124621,20,1657.830522
16.080501,20,1666.767761
5.018676,7,1670.69439
14.868135,19,1681.679803
29.861423,40,1698.706319
15.996653,21,1708.059345
5.637728,8,1711.12618
29.803069,40,1737.294327
20.395376,26,1752.810017
2.777215,4,1754.582326
31.123127,40,1785.16767
13.579636,20,1800.785465
3.328306,5,1803.54411
