#{"t_start": 1745507245.0666947, "env_id": "None"}
r,l,t
13.338026,16,6.842094
14.239953,17,7.215623
15.730831,21,8.701106
3.8923736,5,9.076542
1.8849952,3,10.16945
7.905853,9,12.100425
9.215723,11,14.326
4.1510763,6,14.326037
15.237778,21,14.698673
32.016247,40,15.824613
5.6869464,7,18.407829
11.233346,13,19.947065
10.150867,14,19.947109
10.66516,15,20.33915
8.331968,10,23.742424
10.303118,12,24.831194
7.160103,11,24.831244
2.5303655,4,25.583202
1.6194962,3,25.963391
4.659936,6,28.151725
5.878692,7,31.592196
18.03299,20,33.117283
32.097786,40,35.46909
18.278965,23,35.469142
6.629366,8,39.084666
7.126118,10,40.004614
14.676564,18,42.355265
2.5303285,4,43.026008
21.33953,26,44.788671
3.6596875,5,45.789267
9.031907,12,46.209661
11.956226,15,50.802396
8.636995,10,51.608012
1.070266,2,51.60805
3.4417088,5,53.806158
8.949713,11,57.349075
3.7733212,5,60.276545
9.509192,14,62.012989
30.003004,33,62.607837
2.016534,3,63.7621
6.443587,9,65.493863
28.230762,36,65.49391
6.5327563,9,70.711988
1.8844323,3,71.828732
2.6855931,4,73.321793
20.503708,23,75.286325
5.260978,7,78.380006
30.231556,39,81.437884
29.702087,40,84.241901
19.34437,25,84.694563
11.980398,16,85.525017
7.262851,9,89.313704
15.129548,22,91.803743
14.729854,20,95.560935
11.2613945,14,96.002748
1.8216594,3,96.823732
2.9282115,4,97.658102
1.6933454,3,98.079629
2.5327706,4,99.405743
2.6189268,4,100.021456
2.642023,4,102.380219
27.954613,40,103.805712
3.5295095,5,105.80443
9.217759,13,105.804488
22.553135,29,105.804514
8.281582,10,110.646846
7.017224,10,110.646892
2.4844227,4,112.171913
5.885917,7,113.880728
3.2027526,4,114.47414
20.643482,29,115.724812
7.016113,9,117.990848
5.5359187,8,118.91269
22.723726,29,118.912736
2.93451,4,120.064586
2.2251747,4,121.16186
2.8844326,4,121.161898
3.7550373,5,122.338368
4.262906,6,123.459725
2.9714184,4,123.838537
6.242109,8,124.204189
2.6207347,4,126.171568
6.328205,8,127.750472
2.8594913,4,128.152109
25.729769,35,129.357451
3.6719024,6,131.973328
9.7242775,11,132.542032
8.880643,12,133.671347
4.852519,6,135.201708
6.705134,8,135.572209
25.84308,30,136.688566
2.7279444,4,136.688603
2.8594754,4,137.080205
1.9498675,3,137.998655
9.482423,13,139.160946
8.390849,10,141.406455
17.189953,19,145.666077
15.998586,21,152.340726
20.432926,28,153.506897
4.6811624,6,155.893764
14.017716,18,156.476378
27.51868,38,158.168445
6.8828177,10,160.618709
5.8601775,7,160.997772
6.136957,9,164.811281
18.50192,26,165.969279
7.733889,11,165.969315
1.862773,3,165.969326
1.731846,3,167.144277
20.630156,27,168.641499
7.9470434,10,172.419338
12.8340845,14,172.833118
2.398501,4,174.013477
2.5970323,4,174.462249
17.011496,22,176.870623
7.5507846,9,178.529396
15.728863,22,179.295174
3.2711234,5,181.255506
12.623927,16,185.455631
7.3595862,11,186.218997
18.665071,26,187.866938
7.988898,10,190.115955
30.882942,40,192.423692
6.2868266,8,193.210848
13.7450075,18,196.262129
18.321594,24,197.119979
8.981633,11,202.064918
14.99909,20,202.662557
12.325278,16,203.819262
16.41522,24,203.819306
2.98177,5,205.578695
2.7705867,4,206.145941
2.0177658,3,207.853563
4.003623,6,209.000493
13.948841,17,214.081743
10.082138,13,216.151379
22.719673,31,219.408566
16.899797,22,219.868207
1.9090531,3,221.002025
9.176415,11,221.392713
3.8369052,5,223.476023
15.970574,21,224.067954
8.259564,10,224.068002
4.6810026,6,227.010146
5.3273835,7,229.779095
13.209336,17,229.779125
11.3990345,14,230.875581
11.178789,15,231.472383
4.1829,7,233.358652
3.7843745,5,233.766145
9.016329,13,239.792645
19.863157,27,242.193543
22.949652,29,244.37171
3.5948782,5,245.034923
9.058867,11,245.034976
4.196306,6,247.254359
6.4127536,8,248.519298
28.633038,35,249.474557
10.467469,15,254.27067
8.416961,12,255.050126
4.596592,7,257.781392
23.280201,32,260.674736
21.419127,27,262.379485
3.1768417,5,265.34391
11.921907,16,267.202718
15.368735,21,267.202773
8.526695,12,267.816476
7.1108065,10,272.418448
11.797605,16,273.581122
10.92669,13,273.972673
1.9108148,3,274.710251
5.528774,7,275.272343
1.9943119,3,276.416963
3.9733312,6,276.998419
2.5078638,4,277.476026
18.571365,22,277.875468
7.3237166,9,280.326248
5.282933,7,280.326288
2.6817138,4,282.508127
10.612342,14,284.54739
12.975988,19,285.753278
12.547992,15,289.695277
0.95370907,2,290.595065
18.502003,24,291.986491
2.5105484,4,292.39121
14.808048,20,293.557866
2.6646087,4,293.992017
23.053547,30,299.459366
8.553861,13,299.834903
8.702786,12,304.986351
20.756859,29,304.986383
9.789009,12,305.365073
2.598501,4,306.872156
28.466297,40,312.903503
13.261994,17,317.536896
6.0495663,9,318.893078
18.632656,24,318.893134
3.330086,5,320.447638
19.305122,27,320.44767
7.0719256,10,325.09385
16.57279,24,329.76535
3.4414396,5,332.609603
24.061485,31,333.37943
22.777891,30,334.359857
4.8877807,7,336.337685
5.373686,8,340.213185
12.704352,17,340.213217
10.334405,15,340.978122
28.320087,36,341.375522
1.9105483,3,342.514001
4.1363935,6,342.514039
2.8918412,5,343.014967
1.6207234,3,344.135404
7.8427176,11,347.414951
7.792267,9,347.834095
8.864926,11,347.83413
0.9994371,2,348.273793
8.347034,10,353.084338
24.064714,33,355.88101
20.351976,25,362.454079
10.82069,15,364.705635
14.4408655,20,364.705684
3.7947645,5,367.480071
8.697644,11,368.584917
26.0822,38,369.153383
6.658929,8,373.717685
16.480467,23,380.509366
20.27272,25,382.821488
5.6116037,7,384.565958
1.2293537,2,385.728681
30.283438,39,386.921037
1.8844323,3,388.635153
3.5804496,6,389.211056
15.364562,19,393.70148
3.9058754,5,396.567041
31.28172,40,396.567088
4.4456267,7,400.521554
10.291429,15,405.041034
5.269623,8,405.041078
26.305828,36,408.230392
31.764248,40,409.365152
8.7775755,12,409.861103
11.149224,13,410.428205
0.95499265,2,411.548766
3.2,5,412.504616
3.639988,5,413.662971
16.367655,22,419.424687
24.912218,28,420.577747
11.724077,16,420.577776
2.5312715,4,422.069221
14.194882,20,428.955202
28.393644,40,429.512059
20.460165,25,430.060359
13.835828,19,430.623854
8.681436,10,433.817864
19.656404,24,440.728122
