#{"t_start": 1745506279.8463233, "env_id": "None"}
r,l,t
13.338026,16,6.42444
14.239953,17,6.780653
15.730831,21,8.228793
3.8923736,5,8.585515
1.8849952,3,9.638693
7.905853,9,11.405751
9.215723,11,13.571343
4.1510763,6,13.571435
15.237778,21,13.949082
32.016247,40,15.068831
5.6869464,7,17.589329
11.233346,13,18.698929
10.150867,14,18.69896
10.66516,15,19.077322
8.331968,10,22.777831
10.303118,12,23.534194
7.160103,11,23.534231
2.5303655,4,24.293293
1.6194962,3,24.656664
4.659936,6,27.339997
5.878692,7,30.02731
18.03299,20,31.902961
32.097786,40,33.676875
18.278965,23,33.676908
6.629366,8,38.162918
7.126118,10,39.136477
14.676564,18,40.334897
2.5303285,4,40.718741
21.33953,26,41.984133
3.6596875,5,43.56245
9.031907,12,44.226721
11.956226,15,47.808486
8.636995,10,48.872267
1.070266,2,48.872317
3.4417088,5,51.376028
8.949713,11,53.537691
3.7733212,5,55.849899
9.509192,14,57.563853
30.003004,33,58.128074
2.016534,3,59.268055
6.443587,9,61.147805
28.230762,36,61.147861
6.5327563,9,66.020972
1.8844323,3,67.658671
2.6855931,4,69.854719
20.503708,23,72.133365
5.260978,7,75.069541
30.231556,39,78.609049
29.702087,40,80.890233
19.34437,25,81.260751
11.980398,16,81.984851
7.262851,9,85.394166
15.129548,22,87.626417
14.729854,20,90.874256
11.2613945,14,91.400121
1.8216594,3,92.139336
2.9282115,4,92.889215
1.6933454,3,93.260345
2.5327706,4,94.352269
2.6189268,4,94.708785
2.642023,4,96.73342
27.954613,40,98.152645
3.5295095,5,100.044291
9.217759,13,100.044333
22.553135,29,100.044346
8.281582,10,104.556373
7.017224,10,104.556413
2.4844227,4,106.010449
5.885917,7,107.132447
3.2027526,4,107.508909
20.643482,29,108.980633
7.016113,9,111.684496
5.5359187,8,112.422337
22.723726,29,112.422372
2.93451,4,113.144386
2.2251747,4,113.88357
2.8844326,4,113.883605
3.7550373,5,115.481099
4.262906,6,117.019873
2.9714184,4,117.382653
6.242109,8,117.740868
2.6207347,4,119.157896
6.328205,8,120.21742
2.8594913,4,120.580601
25.729769,35,122.27105
3.6719024,6,124.717705
9.7242775,11,125.090001
8.880643,12,125.865807
4.852519,6,127.600683
6.705134,8,128.142308
25.84308,30,129.708574
2.7279444,4,129.708612
2.8594754,4,130.098328
1.9498675,3,130.827496
9.482423,13,131.569802
8.390849,10,133.387441
17.189953,19,137.927588
15.998586,21,142.80576
20.432926,28,143.524629
4.6811624,6,144.983141
14.017716,18,145.351403
27.51868,38,146.700145
6.8828177,10,150.080312
5.8601775,7,150.641702
6.136957,9,155.107673
18.50192,26,156.77141
7.733889,11,156.771463
1.862773,3,156.771482
1.731846,3,158.426413
20.630156,27,159.729944
7.9470434,10,162.358662
12.8340845,14,162.866666
2.398501,4,164.662485
2.5970323,4,165.23991
17.011496,22,167.085912
7.5507846,9,169.162647
15.728863,22,170.787758
3.2711234,5,173.000876
12.623927,16,176.877194
7.3595862,11,177.948272
18.665071,26,179.504805
7.988898,10,181.204684
30.882942,40,184.478197
6.2868266,8,185.288161
13.7450075,18,187.738482
18.321594,24,188.849269
8.981633,11,194.377027
14.99909,20,194.993692
12.325278,16,196.195513
16.41522,24,196.195579
2.98177,5,198.010489
2.7705867,4,198.604812
2.0177658,3,200.313552
4.003623,6,201.452035
13.948841,17,205.971071
10.082138,13,208.695946
22.719673,31,212.015264
16.899797,22,212.574895
1.9090531,3,214.197242
9.176415,11,214.74969
3.8369052,5,216.820437
15.970574,21,217.241819
8.259564,10,217.241856
4.6810026,6,219.254129
5.3273835,7,223.16266
13.209336,17,223.162698
11.3990345,14,223.916881
11.178789,15,224.305496
4.1829,7,225.824974
3.7843745,5,226.240639
9.016329,13,231.889168
19.863157,27,234.730935
22.949652,29,236.607459
3.5948782,5,236.985606
9.058867,11,236.985638
4.196306,6,238.75374
6.4127536,8,239.973094
28.633038,35,241.077692
10.467469,15,245.098316
8.416961,12,245.992192
4.596592,7,249.1261
23.280201,32,251.144799
21.419127,27,252.436404
3.1768417,5,255.744053
11.921907,16,257.05455
15.368735,21,257.05459
8.526695,12,257.554062
7.1108065,10,263.008706
11.797605,16,264.53683
10.92669,13,265.105619
1.9108148,3,266.588097
5.528774,7,267.272577
1.9943119,3,268.345779
3.9733312,6,268.791554
2.5078638,4,269.414562
18.571365,22,269.937259
7.3237166,9,273.503848
5.282933,7,273.50392
2.6817138,4,275.217171
10.612342,14,276.688886
12.975988,19,277.82946
