#{"t_start": 1745506279.8377743, "env_id": "highway-v0"}
r,l,t
14.239954,17,6.775212
3.892373,5,8.57949
1.884995,3,9.632896
9.215723,11,13.550754
10.150868,14,18.692713
8.331968,10,22.771929
2.530365,4,24.286673
18.278964,23,33.671462
7.126118,10,39.075235
2.530328,4,40.71265
3.659688,5,43.545309
28.230758,36,61.121892
6.532756,9,66.006196
1.884432,3,67.643307
2.685593,4,69.82061
19.344372,25,81.254427
7.262851,9,85.388657
11.261393,14,91.386397
2.928211,4,92.867447
2.53277,4,94.345736
9.217759,13,100.037678
8.281582,10,104.530381
5.885917,7,107.125897
25.729773,35,122.255931
3.671902,6,124.711907
6.705134,8,128.122803
2.859475,4,130.092239
17.189952,19,137.887273
14.017717,18,145.334994
20.630154,27,159.689445
15.728863,22,170.770567
3.271123,5,172.984778
7.359586,11,177.93919
18.321593,24,188.834021
8.981633,11,194.355769
22.719671,31,211.999019
8.259565,10,217.235539
11.178788,15,224.300235
3.784375,5,226.234184
9.016329,13,231.88379
9.058867,11,236.979115
23.280198,32,251.137557
8.526696,12,257.54565
10.92669,13,265.098388
3.973331,6,268.771967
12.975989,19,277.822876
