#{"t_start": 1745506279.8322017, "env_id": "highway-v0"}
r,l,t
13.338026,16,6.424814
15.237777,21,13.949229
11.233346,13,18.68884
10.303117,12,23.530018
18.03299,20,31.89309
14.676562,18,40.327644
11.956225,15,47.671124
1.070266,2,48.862205
8.949712,11,53.53691
3.773321,5,55.839951
6.443587,9,61.13819
29.702087,40,80.889497
27.954615,40,98.145123
3.52951,5,100.027435
22.723723,29,112.397357
2.884432,4,113.854381
4.262906,6,117.019701
25.843083,30,129.700399
1.949868,3,130.82016
27.518683,38,146.682829
5.860177,7,150.617707
7.73389,11,156.753302
12.834083,14,162.852295
2.597032,4,165.239097
30.882938,40,184.472818
16.415217,24,196.101882
2.770587,4,198.595023
2.017766,3,200.302704
16.899797,22,212.555481
1.909053,3,214.179209
3.836905,5,216.819918
4.681003,6,219.242261
5.327383,7,223.154442
19.863158,27,234.715618
3.594878,5,236.968369
6.412754,8,239.963741
21.419126,27,252.434449
3.176842,5,255.739899
11.797605,16,264.433244
1.910815,3,266.565983
1.994312,3,268.254237
7.323717,9,273.297091
2.681714,4,275.217067
