#{"t_start": 1745506279.8261955, "env_id": "highway-v0"}
r,l,t
32.016244,40,15.075038
5.686947,7,17.584415
32.097785,40,33.673479
6.629366,8,38.168121
9.031908,12,44.221776
8.636995,10,48.828478
3.441709,5,51.36612
9.509193,14,57.548839
2.016534,3,59.224706
20.503708,23,72.130057
5.260979,7,75.068096
11.980398,16,81.990867
14.729854,20,90.869899
1.821659,3,92.144629
1.693345,3,93.264188
2.618927,4,94.713201
2.642023,4,96.729629
20.643481,29,108.97695
5.535919,8,112.428519
2.225175,4,113.888758
6.242109,8,117.746695
2.620735,4,119.159441
2.859491,4,120.578811
8.880642,12,125.871798
9.482423,13,131.576071
20.432926,28,143.529648
18.50192,26,156.740093
17.011494,22,167.089048
18.665072,26,179.510303
13.745007,18,187.595624
12.325279,16,196.186836
13.948843,17,205.967207
15.970576,21,217.246011
11.399035,14,223.923117
22.94965,29,236.61228
4.196306,6,238.760001
10.467469,15,245.104747
4.596592,7,249.130881
11.921907,16,256.996686
18.571366,22,269.936879
10.612342,14,276.667803
