#{"t_start": 1745506279.8449042, "env_id": "highway-v0"}
r,l,t
15.730833,21,8.216223
7.905853,9,11.393207
4.151076,6,13.546912
10.66516,15,19.046026
7.160103,11,23.520118
1.619496,3,24.642832
4.659936,6,27.320925
5.878693,7,30.012
21.339531,26,41.961972
30.003001,33,58.106406
30.231556,39,78.596218
15.129549,22,87.613739
22.553133,29,100.018145
7.017224,10,104.540255
2.484423,4,105.997536
3.202753,4,107.496611
7.016113,9,111.670829
2.93451,4,113.13135
3.755037,5,115.458483
2.971418,4,117.36946
6.328205,8,120.200487
9.724278,11,125.076455
4.852519,6,127.57855
2.727944,4,129.686125
8.390849,10,133.365274
15.998585,21,142.792614
4.681162,6,144.964466
6.882818,10,150.043292
6.136957,9,155.076828
1.862773,3,156.748414
1.731846,3,158.404195
7.947044,10,162.346488
2.398501,4,164.586016
7.550785,9,169.113335
12.623927,16,176.85417
7.988897,10,181.144567
6.286826,8,185.268092
14.99909,20,194.970052
2.98177,5,197.987487
4.003623,6,201.406862
10.082138,13,208.673864
9.176416,11,214.720453
13.209336,17,223.145576
4.1829,7,225.809574
28.633039,35,241.054655
8.41696,12,245.919338
15.368736,21,256.982683
7.110807,10,262.992805
5.528774,7,267.156498
2.507864,4,269.401013
5.282933,7,273.48003
